id,recordid,portfolio_id,provider,program,investor,assigned_user_id,portfolio_status,note,created_date,approved_date,opened_date,closed_date,proposal_underwriter,portfolio_approver_name,total_number_of_claims,total_number_of_aob_claims,total_claim_value,adjusted_claim_value,total_num_of_rejected_claims,total_value_of_rejected_claims,total_number_accepted_claims,total_value_accepted_claims,total_adjusted_face_value,total_purchase_price,total_factor_fee,hurdle,hurdle_percent,total_number_of_paid_claims,total_number_of_buybacks,total_buybacks,total_voluntary_collections,total_presuit_collections,total_litigated_collections,total_collections,total_balance_owed,remaining_to_hurdle,total_profit,portfolio_write_off,refundable_reserve,total_limit_reserve,total_reserves,internal_cash_transfer,total_penalty,total_reserves_released,last_reserves_released_date,total_reserves_to_be_released,lock_automation,imported_claims_spreadsheets,number,shownerid,createdtime,created_user_id,modifiedtime,modifiedby,updated,updated_in_date
151,92030,TCR-27,"Total Care Restoration LLC","100% - Portfolio Basis","RC (1-5) Pending breakout","--- ",Closed,,NULL,NULL,2021-07-28,2024-01-30,"--- ","--- ",26.00,26.00,171498.57,170063.90,0.00,0.00,26.00,171498.57,170063.90,68025.56,0.00,88433.24,52.00,12.00,4.00,5940.91,8242.11,0.00,0.00,92243.26,77820.64,0.00,0.00,,3810.02,17347.12,21157.14,0.00,0.00,21157.14,2024-10-01,0.00,No,,PF_2022/04/0535,,"2022-04-21 06:51:00",,"2024-11-19 11:03:00","System ",2,"2024-12-05 02:01:24"
152,92031,TCR-28,"Total Care Restoration LLC","100% - Portfolio Basis","RC (1-5) Pending breakout","--- ",Open,,NULL,NULL,2021-09-07,NULL,"--- ","--- ",31.00,31.00,257118.01,217505.10,0.00,0.00,31.00,257118.01,217505.10,87002.04,0.00,113102.64,52.00,11.00,5.00,17132.13,12126.68,0.00,0.00,101508.54,115996.56,11594.10,0.00,,0.00,587.88,587.88,0.00,0.00,587.88,2023-08-01,0.00,No,,PF_2022/04/0536,,"2022-04-21 06:51:00",,"2024-11-19 10:58:00","System ",2,"2024-12-04 02:01:46"
153,92032,TCR-29,"Total Care Restoration LLC","100% - Portfolio Basis","RC (1-5) Pending breakout","--- ",Open,,NULL,NULL,2021-09-29,NULL,"--- ","--- ",18.00,18.00,174475.99,170475.99,0.00,0.00,18.00,174475.99,170475.99,68190.40,0.00,88647.51,52.00,6.00,5.00,32075.08,0.00,0.00,0.00,36930.67,133545.32,51716.84,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,2023-08-01,0.00,No,,PF_2022/04/0537,,"2022-04-21 06:51:00",,"2024-04-12 06:28:00","Kutowska Agnieszka",1,NULL
