id,recordid,portfolio_purchase_name,portfolio_purchase_status,addendum_date,purchase_date,funded_date,assigned_user_id,purchase_underwriter,purchase_approver,provider,portfolio,program,investor,total_number_of_claims,total_number_of_aob_claims,total_claim_value,adjusted_claim_value,purchase_value,factor_fee,projected_refundable_reserve,sent_be_signed_date,wire_fees,buyback_clearance,cash_to_seller,note,number,shownerid,createdtime,created_user_id,modifiedtime,modifiedby,lock_automation,docusign_envelope_id,type_of_funding,refundable_reserve_1,refundable_reserve_2,refundable_reserve_3,updated,updated_in_date
293,92379,"TCR 27-A",Purchased,NULL,"2021-07-28 00:00:00",NULL,"--- ","Bogumił Dariusz","Bogumił Dariusz","Total Care Restoration LLC",TCR-27,"100% - Portfolio Basis","RC (1-5) Pending breakout",26.00,26.00,171498.57,170063.90,68025.56,0.00,81630.66,NULL,0.00,0.00,68025.56,Open,PORPUR_22_000948,,"2022-04-21 06:55:00",,"2024-11-28 00:14:00","System ",No,,,0.00,0.00,0.00,NULL,NULL
294,92380,"TCR 28-A",Purchased,NULL,"2021-09-07 00:00:00",NULL,"--- ","Bogumił Dariusz","Bogumił Dariusz","Total Care Restoration LLC",TCR-28,"100% - Portfolio Basis","RC (1-5) Pending breakout",31.00,31.00,257118.01,217505.10,87002.04,0.00,104402.46,NULL,0.00,0.00,87002.04,Open,PORPUR_22_000949,,"2022-04-21 06:55:00",,"2024-11-28 00:14:00","System ",No,,,0.00,0.00,0.00,NULL,NULL
295,92381,"TCR 29-A",Purchased,NULL,"2021-09-29 00:00:00",NULL,"--- ","Bogumił Dariusz","Bogumił Dariusz","Total Care Restoration LLC",TCR-29,"100% - Portfolio Basis","RC (1-5) Pending breakout",18.00,18.00,174475.99,170475.99,68190.40,0.00,81828.48,NULL,0.00,0.00,68190.40,Open,PORPUR_22_000950,,"2022-04-21 06:55:00",,"2024-11-28 00:14:00","System ",No,,,0.00,0.00,0.00,NULL,NULL
